Titel,Year,Make,Model,Price,Search Model,Transmission,Mileage,Location,Description,Flags,URL
2017 Mazda 3,2017,Mazda,3,9590000,,manual,101000,Ñuñoa,Mazda al new3 2.0 V Sport 6mt Contado $9.990.000 Crédito $9.590.000 Los bonos de financiamiento son aplicables cuando el negocio cumple las condiciones. 40% de pie max y minimo 36 o 48 cuotas. *RECIBIMOS AUTO COMO PARTE DE PAGO✅ *CREDITO INSTANTANEO✅ *CONTADO✅ *Pregunta como reservar enseguida💯 *ENTREGA INMEDIATA💯💯,['parte'],https://web.facebook.com/marketplace/item/1111813893581737/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2017 Mazda 2,2017,Mazda,2,8790000,,manual,48000,Las Condes,"MAZDA 2 SEDÁN 🏁 Financiamiento automotriz, tarjetas de crédito, vale vista y transferencias 💳. Precio: $8.790.000 Pie (30%): $2.697.000 - Única dueña - 48.000 kms - Motor 1.5 - Manual - Aire acondicionado - Bluetooth - Start/Stop - 2 Llaves originales - Cámara de retroceso - Documentación al día - Mantenciones al día *Se puede ver con previa coordinación. #Mazda #Mazda2 #Seminuevos #chile",['al dia'],https://web.facebook.com/marketplace/item/404626612154959/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2009 Mazda 3,2009,Mazda,3,3800000,,manual,210000,Santiago,Mazda 3 sport 2009 tiene línea inox ag kit cámara retroceso butaca bride frenos traseros nuevos disco y pastillas varios repuestos nuevos permuto por honda o nissan,['repuestos'],https://web.facebook.com/marketplace/item/426029236533193/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2010 Mazda 3,2010,Mazda,3,7850000,,manual,179000,Santiago,"Mazda3 GT 2.5 año 2010 (sin restriccion) .Versión americana viene de fabrica con faldones, radio Bluetooth, doble salida de escape, rueda de repuesto grande (no la de bici q dice 80) y el Motor L5 (2.5L) exclusivo muy pocos en Chile . Llantas estilo BBS . Neumáticos Sumax semi slick casi nuevos . Pintura de Calipers MPS . Luces de piso interior y exterior . Faros modificados en chip focos . Aleron MazdaSpeed (pmercury) . Puedo entregar con subwoofer Pioneer . El interior del auto está en perfecto estado . Mantenciones recién hechas, cambio de aceite con filtro y tapón, cuerpo de aceleración, filtro de aire, aceite de caja de cambio, líquido refrigerante, batería tiene 1 año. . Full equipo Sunroof, airbag, aire acondicionado, mandos al volante, caja 6 velocidades MT etc. Precio conversable Se vende por proyecto inmobiliario sino no lo vendería. San Miguel, Santiago.","['conversable', 'repuesto']",https://web.facebook.com/marketplace/item/431483985893336/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2007 Mazda 3,2007,Mazda,3,1350000,,manual,204000,Rancagua,"Vendo Mazda 3 chocado 
Documentos al día 
Motor en buen estado","['al dia', 'chocado']",https://web.facebook.com/marketplace/item/322715490276397/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2009 Mazda 3,2009,Mazda,3,5300000,,manual,163000,Ovalle,"Vendo o permuto 
Mazda 3
Año 2009
Motor 1.6
Al día transferible",['al dia'],https://web.facebook.com/marketplace/item/427007039881663/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2018 Mazda 3,2018,Mazda,3,9990000,,manual,57000,Santiago,🏦Con crédito: 9.990.000 💵Al contado: 10.290.000 ⬇️ SE VENDE ⬇️ . 🚗Marca: MAZDA 🚘Modelo: 3 DOHC 1.6 🗓Año: 2018 🔩Transmisión: MECANICO ⚙️Motor: 1.6cc 🚙Kilometraje: 57.000 ⛽️Combustible: BENCINA Contacto para más info Ejecutivo de Ventas Salazar Israel LUIS PINTO [hidden information],[],https://web.facebook.com/marketplace/item/273383515708655/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
1997 Mazda artiz 323 1.6,1997,Mazda,artiz,4850000,,manual,135000,La Cisterna,vendo mi auto mazda artiz [hidden information] mil km unico en su estado 3 dueños yegar i andar sin detalles más información [hidden information],[],https://web.facebook.com/marketplace/item/757584499674896/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2007 Mazda 5,2007,Mazda,5,4500000,,manual,180000,Chillán,Mazda 5 2.0 auto familiar funcionando en perfectas condiciones solo con detalles estéticos. Con todos los papeles al día Cualquier consulta por interno o por WhatsApp [hidden information],"['al dia', 'detalles menores']",https://web.facebook.com/marketplace/item/1599556670584999/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012 Mazda 3,2012,Mazda,3,6500000,,manual,132000,Pemuco,"Se vende mazda 3v.1.6. Es full equipo, espejos eléctricos, sensor de lluvia, todo funcionando sin ningún problema, sin detalles. Soy segundo dueño y esta en perfecto estado, tal cual las fotos. Toda su documentación al día y transferible, precio algo conv.",['al dia'],https://web.facebook.com/marketplace/item/7585087854888524/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2008 Mazda 3,2008,Mazda,3,5300000,,manual,188000,San Fernando,Se vende! Vehículo al día y transferible Detalles mínimos de pintura Neumaticos 95% Radio con pantalla Impecable vehículo!,"['al dia', 'detalles menores']",https://web.facebook.com/marketplace/item/315498714518926/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2009 Mazda 3,2009,Mazda,3,4000000,,manual,300,Peñalolén,Descripción Se venden mazda 3 gris oscuro . año 2009 con documentacion hasta marzo de este año . transferible a mi nombre detalles esteticos nada grave. motor impeque 4 millones. mazda 3 plomo año 2006 estéticamente bueno. documentos atrasado dueño ubicable y tiene multas 2 millones algo conversable auto impeques de motor y de uso diario. Porfavor solo interesados. Autos andando a la llave hablar al watsap [hidden information],"['conversable', 'detalles menores', 'atrasado', 'multas']",https://web.facebook.com/marketplace/item/416821060932122/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2008 Mazda 3,2008,Mazda,3,3800000,,manual,199000,Olmué,"Gran compañero de rutas.
El mejor !!!

OPORTUNIDAD !!!! 😃🧡

Whatsapp [hidden information]",[],https://web.facebook.com/marketplace/item/375062268800502/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012 Mazda 2,2012,Mazda,2,4700000,,manual,186000,San Javier,"Vendo mazda 2 sport, año 2012, motor 1.5, mantenciones al día, 186.000 kilómetros y sumando, uso diario, Full con a/c, se vende con el detalle en el parachoques, sin mayor problemas, detalles estéticos de acuerdo a su año, motor impecable, precio levemente conversable.","['conversable', 'al dia', 'detalles menores']",https://web.facebook.com/marketplace/item/3292430424390812/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2009 Mazda 3,2009,Mazda,3,4500000,,manual,250000,Chillán,"Vendo auto mazda 3 sedan de uso diario, motor 1.6 manual, mantenciones y papeles al día,llegar y transferir. Detalles estéticos por el año. Versión full con aire acondicionado. Bien cuidado, con tres dueños incluyendome. Vendo por renovación. Se puede ver en San Nicolás y Chillán. Precio conversable","['conversable', 'al dia', 'detalles menores']",https://web.facebook.com/marketplace/item/431662789418794/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2014 Mazda 3,2014,Mazda,3,6980000,,manual,145000,Maipú,Llegar y disfrutar.. versión aniversario Mazda 3  100%japonés  todas sus mantenciónes al dia,['al dia'],https://web.facebook.com/marketplace/item/367085999536854/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012 Mazda 2 sport,2012,Mazda,2,4600000,,manual,280000,Isla de Maipo,"Mazda 2 Sport Año 2012 Vendo auto de uso diario, uso en carretera. Estéticamente y mecánicamente está muy bien para el año, es 1.5 en su versión sport. Muy económico, desde el consumo hasta los repuestos del vehículo. Se puede ver en isla de Maipo, no presenta partes, ni detalles para ser transferido.","['repuestos', 'partes']",https://web.facebook.com/marketplace/item/726913852605727/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2009 Mazda 3,2009,Mazda,3,5000000,,manual,188000,San Felipe,"Vendo Mazda 3 año 2009 Full equipo A/C alza vidrios eléctricos Espejos eléctricos cierre centralizado Llantas 17 radio android de 9"" polarizado certificado soy de San Felipe hablar al whasp o llamar ➕5️⃣6️⃣9️⃣3️⃣0️⃣3️⃣2️⃣5️⃣2️⃣9️⃣3️⃣",[],https://web.facebook.com/marketplace/item/1498121174417878/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2009 Mazda 3,2009,Mazda,3,5200000,,manual,220000,Viña del Mar,"Vendo por renovación mi Mazda3 2009, soplado, 220 mil kms, aire acondicionado, manos libres, documentos al día. Uso familiar, llegar y andar.",['al dia'],https://web.facebook.com/marketplace/item/1316520762360138/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
