Modelo
ASTRA
AUTO16
AVEO
CAPTIVA24CCFULLDETALLES
COMBO14
CORSA
ONIXNBLS12
OPTRA16
PRISMA
PRISMALT
SAIL
SPARK
SPARKLT
TRACKER
VIVAN
