Titel,Year,Make,Model,Price,Search Model,Transmission,Mileage,Location,Description,Flags,URL
2008 Hyundai getz,2008,Hyundai,getz,4300000,,automatic,78000,Las Condes,"Excelente automóvil, única dueña, 75mil km, económico. Se vende por renovación. SIN AIRE ACONDICIONADO.",[],https://web.facebook.com/marketplace/item/1615857342570652/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
1998 Hyundai accent,1998,Hyundai,accent,1800000,,automatic,177000,Santiago,El auto está impecable ningún sonido lo compre aun abuelo en mi local y lo vendo por espacio auto muy bien cuidado auto al día asta el 2025,['al dia'],https://web.facebook.com/marketplace/item/448984867545443/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
1999 Hyundai accent,1999,Hyundai,accent,650000,,automatic,222000,La Cisterna,No esta andando falta bateria C.lEL P.llamar [hidden information]al DIA,['al dia'],https://web.facebook.com/marketplace/item/431771692547673/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012 Hyundai accent,2012,Hyundai,accent,4700000,,automatic,195000,La Granja,"Vendo hyundai accent rb año 2012 Motor 1,6 automático Full equipo con a/c Excelente estado Motor y caja impecable 195.000 km Documentación al día hasta el 2025 Transferible sin multas PRECIO CONVERSABLE!!!!","['conversable', 'al dia']",https://web.facebook.com/marketplace/item/969802014513079/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2005 Hyundai accent,2005,Hyundai,accent,2500000,,automatic,188000,Maipú,"Full equipo, aire acondicionado funcionando, alzavidrios eléctricos en 4 puertas, caja automática , radio bluetooth, espejos eléctricos, cierre centralizado, asiento regulable en altura, soporte lumbar, inclinación y con apoya brazos Mecánica al 100, sin ruidos de nada , no consume refrigerante ni gasta aceite Es motor 1.6 16valvulas Frenos delanteros y traseros recién hechos Cómodo ,económico y repuestos baratos Ideal como utilitario, primer auto ,familiar o alguien que este aprendiendo a conducir (Yo lo utilizo para ir a estudiar) Detalles esteticos( típicos piquetes de pintura), transferible sin partes Soy de Maipú, sector de rinconada cercano a la autopista del sol","['detalles menores', 'repuestos']",https://web.facebook.com/marketplace/item/276074172207639/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021 Hyundai atos 1.1,2021,Hyundai,atos 1.1,6800000,,automatic,65000,Santiago,Hyundai Atos AH2 HB 1.1 2021 65.xxx. Excelente estado Funcionando full Transferible con toda su documentación al día se puede ver en Stgo centro en el parqueadero,['al dia'],https://web.facebook.com/marketplace/item/843151721161658/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2006 Hyundai tiburon (tuscani),2006,Hyundai,tiburon (tuscani),5990000,,automatic,140000,Villa Alemana,"Hyundai Tiburon.
Transferible.
Sello Amarillo.",[],https://web.facebook.com/marketplace/item/1394600817859827/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012 Hyundai sonata,2012,Hyundai,sonata,8600000,,automatic,47000,Ñuñoa,Hola vendo o permuto por Durango Cherokee o algo familiar doy diferencia o alguna 4x4,[],https://web.facebook.com/marketplace/item/731121045813784/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012 Hyundai azera 3.0 techo panoramico,2012,Hyundai,azera 3.0 techo panoramico,8200000,,automatic,140000,Quilicura,DOCUMENTOS AL DIA EXCELENTE ESTADO MUY BIEN CUIDADA CLIMATIZADO TECHO PANORAMICO POSIBILIDAD DE RECIBIR UN VEHÍCULO EN PARTE DE PAGO CONSULTAS WHATSAPP [hidden information],"['al dia', 'parte']",https://web.facebook.com/marketplace/item/392640310176583/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020 Hyundai accent,2020,Hyundai,accent,9490000,,automatic,92000,Ñuñoa,Automotora Valenzuela & Delarze. ✅CRÉDITO AUTOMOTRIZ. ✅CHILENOS ✅EXTRAJEROS. (VISA DEFINITIVA). ✅3 ÚLTIMAS LIQUIDACIÓNES DE SUELDO. ✅SE PUEDE COMPLETAMENTAR RENTA(AVAL) ✅12 COTIZACIONES DE AFP. ✅NO TENER DICOM. ✅ANTIGÜEDAD LABORAL (MÍNIMO 12 MESES) ✅20 %DE PIE. ✅LLAME O ESCRIBA AL [hidden information] Nestor Rivas.,[],https://web.facebook.com/marketplace/item/1743972469346823/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
