Data
"Melipilla, RM"
10000
"San Bernardo, RM"
75000
"Melipilla, RM"
96000
"Santiago, RM"
91000
"Peñaflor, RM"
157000
"Maipú, RM"
203000
"Independencia, RM"
300
"Santiago, RM"
160000
"Maipú, RM"
100000
"San Bernardo, RM"
117000
"Recoleta, RM"
196000
"Santiago, RM"
38616
"San Antonio, VS"
122000
"Melipilla, RM"
1356
"Talagante, RM"
200000
"Santiago, RM"
77000
"Maipú, RM"
15000
"Maipú, RM"
55000
"Cerro Navia, RM"
264000
"Maipú, RM"
125000
"Pudahuel, RM"
230000
"La Cisterna, RM"
79000
"Colina, RM"
86000
"Curacaví, RM"
1234
"Villa Alemana, VS"
120000
"Ñuñoa, RM"
136000
"Recoleta, RM"
124000
"Puente Alto, RM"
1950
"Santiago, RM"
260000
"Paine, RM"
111000
"San Miguel, RM"
63000
"Viña del Mar, VS"
190000
"El Bosque, RM"
1350
"Santiago, RM"
158000
"Quillota, VS"
197000
"Maipú, RM"
135000
"Maipú, RM"
97000
"Las Condes, RM"
176000
"Viña del Mar, VS"
190000
"Santiago, RM"
12872
"Quinta Normal, RM"
251000
"Olivar, LI"
130000
"Santiago, RM"
130000
"La Pintana, RM"
400
"Talagante, RM"
320
"La Florida, RM"
160000
"Melipilla, RM"
167000
"Ovalle, CO"
270000
"Maipú, RM"
1111
"Maipú, RM"
198000
"Lampa, RM"
100000
"Nogales, VS"
115000
"Quinta Normal, RM"
160000
"Curicó, ML"
201000
"Santiago, RM"
274000
"Padre Hurtado, RM"
260000
"Santiago, RM"
98000
"San Joaquín, RM"
127000
"La Granja, RM"
93000
"Santiago, RM"
85000
"Lo Espejo, RM"
126000
"Lampa, RM"
138000
"Santiago, RM"
120000
"Santiago, RM"
157000
"Santiago, RM"
140000
"Puente Alto, RM"
275000
"Macul, RM"
81000
"Tiltil, RM"
50000
"Santiago, RM"
162000
"Quinta Normal, RM"
140000
"Santiago, RM"
108000
"Maipú, RM"
242000
"Las Condes, RM"
125000
"San Vicente, LI"
162000
"Melipilla, RM"
210000
"Rancagua, LI"
93000
"El Bosque, RM"
130000
"Cerrillos, RM"
20000
"La Reina, RM"
138000
"Cerrillos, RM"
137000
"Quilpué, VS"
10000
"Santiago, RM"
100000
"Villa Alemana, VS"
25000
"Las Cabras, LI"
200000
