Titel,Year,Make,Model,Price,Search Model,Transmission,Mileage,Location,Description,Flags,URL
2018 Mazda cx-3,2018,Mazda,cx-3,9990000,,automatic,98000,Talagante,💥9.990.000💥 🔸️Mazda New cx3 R 🔸️2.0cc 🔸️2018 🔸️Automático 🔸️Bencina 🔸️98mil km 🔸️Papeles al día ❗️Vehiculo con pérdida Asimilada 2020❗️ 🔹Andando sin ningún problema 🔹Se muestra en Talagante 🔹Precio Referencia Mercado 12.500.000,['al dia'],https://web.facebook.com/marketplace/item/1805313543226323/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2016 Mazda new 3,2016,Mazda,new 3,9500000,,automatic,140000,Retiro,Vendo Mazda 3 sedan automático look GT más detalles por interno es motor 2.0 caja dual,[],https://web.facebook.com/marketplace/item/434918505732836/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2014 Mazda 3,2014,Mazda,3,8700000,,automatic,110000,Palmilla,"A toda prueba, muy bien cuidado",[],https://web.facebook.com/marketplace/item/1133368927693193/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2011 Mazda cx-7,2011,Mazda,cx-7,6280000,,automatic,180000,Talcahuano,Se vende auto en excelentes condiciones.Sus dos llaves originales y se cambio radio por una con sistema Android auto y car play.,[],https://web.facebook.com/marketplace/item/938490890961888/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2008 Mazda cx-9,2008,Mazda,cx-9,7900000,,automatic,80000,Chillán,"Cx9 2008 3.6 cc full equipo cuero 
Precio :7.900.000 
Chillan
Fono:9/9/7/4/3/6/6/2/1",[],https://web.facebook.com/marketplace/item/381277901338045/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2014 Mazda 5,2014,Mazda,5,9000000,,automatic,106000,Concepción,"Se vende Mazda 5 año 2014, vehículo familiar. Full equipo con aire acondicionado, caja automática , alza vidrio eléctrico , cierre centralizado, papeles al día , transferible. En excelente condiciones, valor conversable.","['conversable', 'al dia']",https://web.facebook.com/marketplace/item/3236242193339060/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2016 Mazda new 3,2016,Mazda,new 3,9800000,,automatic,96000,La Serena,"mazda 3 año 2016 automatico. cierre centralizado. 2 controles. apertura de maletero a distancia. aire acondicionado. espacioso, comodo, economico. al dia transferible. precio conversable. Se recibe vehículo de menor valor mas plata a favor","['conversable', 'al dia']",https://web.facebook.com/marketplace/item/1475797636333426/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2013 Mazda cx-5,2013,Mazda,cx-5,9100000,,automatic,148000,Los Ángeles,Mazda CX5 2.0 Automático Año 2013 148.000 Kms aprox Full equipo Velocidad Crucero Botón de encendido Radio Pantalla Touch Bluetooth/AUX/USB Cámara de retroceso Excelente estado mecánico Detalles estéticos - Precio conversable 2 dueños Todas las mantenciones y papeles al día $9.100.000,"['conversable', 'al dia', 'detalles menores']",https://web.facebook.com/marketplace/item/433872649116026/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012 Mazda 3,2012,Mazda,3,7000000,,automatic,132000,Concepción,MAZDA 3 2012 FULL 1.6 AUTOMÁTICO A TODA PRUEBA LLEGAR Y DISFRUTAR.,[],https://web.facebook.com/marketplace/item/1132322958182994/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012 Mazda cx-7,2012,Mazda,cx-7,7800000,,automatic,99000,Coronel,"Vendo o permuto por moto sobre los 750 cc  ...
Es la versión más full del cx7",[],https://web.facebook.com/marketplace/item/1134740294606733/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012 Mazda cx-7,2012,Mazda,cx-7,6000000,,automatic,174000,Coronel,Jeep rápido y seguro. Motor 2.5 da en carretera 13.5 k. Aire acondicionado. Cierre centralizado. Navegador crucero. Toda su documentación al día. Llegar y transferir.,['al dia'],https://web.facebook.com/marketplace/item/3744557162479930/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2015 Mazda 6,2015,Mazda,6,9990000,,automatic,123000,Los Ángeles,Mazda 6 V Automático ✔️ Muy buen estado ✔️ Documentación al día GESTIONAMOS FINANCIAMIENTO AUTOMOTRIZ RECIBIMOS VEHÍCULOS EN PARTE DE PAGO ACEPTAMOS PAGOS CON TARJETAS BANCARIAS 👨🏽‍💻 Alonso Navia Rivera 🚘 Representante de Ventas en Automotriz Nancagua 📲 5️⃣6️⃣9️⃣7️⃣9️⃣2️⃣9️⃣5️⃣5️⃣3️⃣7️⃣,"['al dia', 'parte']",https://web.facebook.com/marketplace/item/393183036821985/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2010 Mazda 6,2010,Mazda,6,6850000,,automatic,168000,Concepción,Buenas condiciones mecánicas solo detalles estéticos precio conversable,"['conversable', 'detalles menores']",https://web.facebook.com/marketplace/item/783833773162129/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
