Titel,Year,Make,Model,Price,Search Model,Transmission,Mileage,Location,Description,Flags,URL
2004 Chevrolet astra,2004,Chevrolet,astra,2900000,,manual,10000,Curacaví,hola mundo,[],https://web.facebook.com/marketplace/item/4566985566860382/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2019 Chevrolet prisma lt,2019,Chevrolet,prisma lt,5500000,,manual,1000,Quinta Normal,hola mundo,[],https://web.facebook.com/marketplace/item/1118496896134802/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020 Chevrolet onix nb ls 1.2,2020,Chevrolet,onix nb ls 1.2,6500000,,manual,100000,Santiago,hola mundo,[],https://web.facebook.com/marketplace/item/948946446815603/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2018 Chevrolet prisma,2018,Chevrolet,prisma,2800000,,manual,180000,Lampa,hola mundo,[],https://web.facebook.com/marketplace/item/459293053128222/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2005 Chevrolet optra 1.6,2005,Chevrolet,optra 1.6,1300000,,manual,245000,Santiago,hola mundo,[],https://web.facebook.com/marketplace/item/703458958395068/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2018 Chevrolet sail chevrolet full,2018,Chevrolet,sail chevrolet full,5300000,,manual,134000,Santiago,hola mundo,[],https://web.facebook.com/marketplace/item/1105575083996440/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2013 Chevrolet spark,2013,Chevrolet,spark,2500000,,manual,160000,Santiago,hola mundo,[],https://web.facebook.com/marketplace/item/7152812338160762/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2018 Chevrolet prisma,2018,Chevrolet,prisma,5400000,,manual,72000,Santiago,hola mundo,[],https://web.facebook.com/marketplace/item/756439106461476/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2016 Chevrolet sail,2016,Chevrolet,sail,4600000,,manual,76000,Cartagena,hola mundo,[],https://web.facebook.com/marketplace/item/909353294006466/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2019 Chevrolet tracker,2019,Chevrolet,tracker,8790000,,manual,80000,Estación Central,hola mundo,[],https://web.facebook.com/marketplace/item/1175744023419363/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2014 Chevrolet sail,2014,Chevrolet,sail,3800000,,manual,110000,Melipilla,hola mundo,[],https://web.facebook.com/marketplace/item/444123024745055/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2011 Chevrolet captiva 2.4cc full  detalles,2011,Chevrolet,captiva 2.4cc full detalles,3250000,,manual,125000,Maipú,hola mundo,[],https://web.facebook.com/marketplace/item/922836686516285/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2009 Chevrolet spark,2009,Chevrolet,spark,1900000,,manual,140000,Melipilla,hola mundo,[],https://web.facebook.com/marketplace/item/3076365292505064/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2008 Chevrolet corsa plus,2008,Chevrolet,corsa plus,2750000,,manual,164000,Lampa,hola mundo,[],https://web.facebook.com/marketplace/item/1106035000544526/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2005 Chevrolet corsa,2005,Chevrolet,corsa,1500000,,manual,288000,Maipú,hola mundo,[],https://web.facebook.com/marketplace/item/3781288218786031/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2014 Chevrolet sail,2014,Chevrolet,sail,3800000,,manual,110000,Melipilla,hola mundo,[],https://web.facebook.com/marketplace/item/411901644879126/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2008 Chevrolet spark,2008,Chevrolet,spark,2100000,,manual,126000,Casablanca,hola mundo,[],https://web.facebook.com/marketplace/item/1150110439236164/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2011 Chevrolet spark,2011,Chevrolet,spark,2200000,,manual,126000,San Bernardo,hola mundo,[],https://web.facebook.com/marketplace/item/1300611287273374/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2008 Chevrolet spark lt,2008,Chevrolet,spark lt,2100000,,manual,108000,Quilicura,hola mundo,[],https://web.facebook.com/marketplace/item/4209172435975706/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2014 Chevrolet sail,2014,Chevrolet,sail,3200000,,manual,120000,Santiago,hola mundo,[],https://web.facebook.com/marketplace/item/3775383182785425/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2011 Chevrolet spark,2011,Chevrolet,spark,2650000,,manual,150000,Maipú,hola mundo,[],https://web.facebook.com/marketplace/item/1796273880871509/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
